date,type,time_ny,note
2021-06-16,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-06-18,opex,09:30,quad witching; AM-settled index options settle at the open
2021-06-25,PCE,08:30,"Personal Income and Outlays, May 2021"
2021-07-02,NFP,08:30,BLS release archive
2021-07-05,early_close,13:00,exchange holiday: CME Globex-only session
2021-07-13,CPI,08:30,BLS release archive
2021-07-14,PPI,08:30,BLS release archive
2021-07-16,opex,09:30,monthly; AM-settled index options settle at the open
2021-07-16,retail_sales,08:30,Census MARTS release dates
2021-07-28,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-07-29,GDP_advance,08:30,"Gross Domestic Product, Second Quarter 2021 (Advance Estimate) and Annual Update"
2021-07-30,PCE,08:30,"Personal Income and Outlays, June 2021 and Annual Update"
2021-08-06,NFP,08:30,BLS release archive
2021-08-11,CPI,08:30,BLS release archive
2021-08-12,PPI,08:30,BLS release archive
2021-08-17,retail_sales,08:30,Census MARTS release dates
2021-08-20,opex,09:30,monthly; AM-settled index options settle at the open
2021-08-27,PCE,08:30,"Personal Income and Outlays, July 2021"
2021-09-03,NFP,08:30,BLS release archive
2021-09-06,early_close,13:00,exchange holiday: CME Globex-only session
2021-09-10,PPI,08:30,BLS release archive
2021-09-14,CPI,08:30,BLS release archive
2021-09-16,retail_sales,08:30,Census MARTS release dates
2021-09-17,opex,09:30,quad witching; AM-settled index options settle at the open
2021-09-22,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-10-01,PCE,08:30,"Personal Income and Outlays, August 2021"
2021-10-08,NFP,08:30,BLS release archive
2021-10-13,CPI,08:30,BLS release archive
2021-10-14,PPI,08:30,BLS release archive
2021-10-15,opex,09:30,monthly; AM-settled index options settle at the open
2021-10-15,retail_sales,08:30,Census MARTS release dates
2021-10-28,GDP_advance,08:30,"Gross Domestic Product, Third Quarter 2021 (Advance Estimate)"
2021-10-29,PCE,08:30,"Personal Income and Outlays, September 2021"
2021-11-03,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-11-05,NFP,08:30,BLS release archive
2021-11-09,PPI,08:30,BLS release archive
2021-11-10,CPI,08:30,BLS release archive
2021-11-16,retail_sales,08:30,Census MARTS release dates
2021-11-19,opex,09:30,monthly; AM-settled index options settle at the open
2021-11-24,PCE,08:30,"Personal Income and Outlays, October 2021"
2021-11-25,early_close,13:00,exchange holiday: CME Globex-only session
2021-11-26,early_close,13:15,NYSE half day
2021-12-03,NFP,08:30,BLS release archive
2021-12-10,CPI,08:30,BLS release archive
2021-12-14,PPI,08:30,BLS release archive
2021-12-15,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-12-15,retail_sales,08:30,Census MARTS release dates
2021-12-17,opex,09:30,quad witching; AM-settled index options settle at the open
2021-12-23,PCE,08:30,"Personal Income and Outlays, November 2021"
2022-01-07,NFP,08:30,BLS release archive
2022-01-12,CPI,08:30,BLS release archive
2022-01-13,PPI,08:30,BLS release archive
2022-01-14,retail_sales,08:30,Census MARTS release dates
2022-01-17,early_close,13:00,exchange holiday: CME Globex-only session
2022-01-21,opex,09:30,monthly; AM-settled index options settle at the open
2022-01-26,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-01-27,GDP_advance,08:30,"Gross Domestic Product, Fourth Quarter and Year 2021 (Advance Estimate)"
2022-01-28,PCE,08:30,"Personal Income and Outlays, December 2021"
