Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
6,Entry short,2024-01-24 06:55,S|80|open:above|acc:6|risk:35.5|rr:1.4|va:69|h:9|m:55|cov:100,17669.75,1,35339.5,-73,-0.21,2,61.5,0.17,-72,-0.20,166.5,0.67,4
7,Exit long,2024-02-13 11:10,SL,17605.25,1,35546,-337.5,-0.95,2,13,0.04,-336.5,-0.95,-171,-0.68,41
7,Entry long,2024-02-13 07:45,L|80|open:below|acc:6|risk:167.75|rr:1.1|va:287|h:10|m:45|cov:100,17773,1,35546,-337.5,-0.95,2,13,0.04,-336.5,-0.95,-171,-0.68,41
8,Exit short,2024-02-19 09:30,SL,17790.75,1,35550.5,-33,-0.09,2,5,0.01,-32,-0.09,-204,-0.82,17
8,Entry short,2024-02-19 08:05,S|80|open:above|acc:6|risk:15.5|rr:0.9|va:23|h:11|m:5|cov:100,17775.25,1,35550.5,-33,-0.09,2,5,0.01,-32,-0.09,-204,-0.82,17
9,Exit short,2024-03-21 08:40,SL,18680.25,1,37317,-45.5,-0.12,2,25.5,0.07,-44.5,-0.12,-249.5,-1.00,4
9,Entry short,2024-03-21 08:20,S|80|open:above|acc:6|risk:21.75|rr:3.2|va:73|h:11|m:20|cov:100,18658.5,1,37317,-45.5,-0.12,2,25.5,0.07,-44.5,-0.12,-249.5,-1.00,4
10,Exit short,2024-04-08 07:25,SL,18340.25,1,36618,-64.5,-0.18,2,27,0.07,-63.5,-0.17,-314,-1.26,3
10,Entry short,2024-04-08 07:10,S|80|open:above|acc:6|risk:31.25|rr:0.8|va:45|h:10|m:10|cov:100,18309,1,36618,-64.5,-0.18,2,27,0.07,-63.5,-0.17,-314,-1.26,3
11,Exit long,2024-04-18 08:10,TP,17726,1,35392,58,0.16,2,59,0.17,-2.5,-0.01,-256,-1.02,2
11,Entry long,2024-04-18 08:00,L|80|open:below|acc:6|risk:31.25|rr:1|va:49|h:11|m:0|cov:100,17696,1,35392,58,0.16,2,59,0.17,-2.5,-0.01,-256,-1.02,2
12,Exit short,2024-04-29 07:35,TP,17885,1,35824.5,52.5,0.15,2,53.5,0.15,-3.5,-0.01,-203.5,-0.81,1
12,Entry short,2024-04-29 07:30,S|80|open:above|acc:6|risk:14|rr:1.9|va:33|h:10|m:30|cov:100,17912.25,1,35824.5,52.5,0.15,2,53.5,0.15,-3.5,-0.01,-203.5,-0.81,1
13,Exit long,2024-05-29 13:00,time,18796.5,1,37675,-84,-0.22,2,84,0.22,-106,-0.28,-287.5,-1.15,70
13,Entry long,2024-05-29 07:10,L|80|open:below|acc:6|risk:73.25|rr:1|va:115|h:10|m:10|cov:100,18837.5,1,37675,-84,-0.22,2,84,0.22,-106,-0.28,-287.5,-1.15,70
14,Exit short,2024-05-30 07:40,TP,18662,1,37477,151,0.40,2,152,0.41,-29.5,-0.08,-136.5,-0.55,9
