Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
149,Entry short,2021-05-13 06:45,S|ORB|or:58.5|pd:22|on:topBreak|gap:+123|ent:close|risk:79.25|rr:0|n:1|h:9|m:45|dow:5,13089.75,1,26179.5,-161.5,-0.62,2,0,0.00,-160.5,-0.61,-1745.5,-6.98,3
150,Exit short,2021-05-17 13:00,time,13306.25,1,26495.5,-119,-0.45,2,129.5,0.49,-162,-0.61,-1864.5,-7.46,71
150,Entry short,2021-05-17 07:05,S|ORB|or:78.3|pd:36|on:botBreak|gap:-71|ent:close|risk:94|rr:0|n:1|h:10|m:5|dow:2,13247.75,1,26495.5,-119,-0.45,2,129.5,0.49,-162,-0.61,-1864.5,-7.46,71
151,Exit long,2021-05-20 13:00,time,13490.25,1,26826.5,152,0.57,2,220.5,0.82,-12,-0.04,-1712.5,-6.85,69
151,Entry long,2021-05-20 07:15,L|ORB|or:111.5|pd:41|on:topBreak|gap:+61.3|ent:close|risk:132|rr:0|n:1|h:10|m:15|dow:5,13413.25,1,26826.5,152,0.57,2,220.5,0.82,-12,-0.04,-1712.5,-6.85,69
152,Exit short,2021-05-21 13:00,time,13414,1,26963.5,133.5,0.50,2,171.5,0.64,-53.5,-0.20,-1579,-6.32,69
152,Entry short,2021-05-21 07:15,S|ORB|or:71|pd:29|on:topBreak|gap:+65|ent:close|risk:88.25|rr:0|n:1|h:10|m:15|dow:6,13481.75,1,26963.5,133.5,0.50,2,171.5,0.64,-53.5,-0.20,-1579,-6.32,69
153,Exit long,2021-05-24 13:00,time,13633.25,1,27232,32.5,0.12,2,139.5,0.51,-7.5,-0.03,-1546.5,-6.19,70
153,Entry long,2021-05-24 07:10,L|ORB|or:90.5|pd:52|on:topBreak|gap:+100|ent:close|risk:123.25|rr:0|n:1|h:10|m:10|dow:2,13616,1,27232,32.5,0.12,2,139.5,0.51,-7.5,-0.03,-1546.5,-6.19,70
154,Exit short,2021-06-01 13:00,time,13649.5,1,27431.5,130.5,0.48,2,245,0.89,-33,-0.12,-1416,-5.66,74
154,Entry short,2021-06-01 06:50,S|ORB|or:34|pd:118|on:topBreak|gap:+98|ent:close|risk:57.5|rr:0|n:1|h:9|m:50|dow:3,13715.75,1,27431.5,130.5,0.48,2,245,0.89,-33,-0.12,-1416,-5.66,74
155,Exit long,2021-06-02 10:20,SL,13650.5,1,27401,-102,-0.37,2,23,0.08,-101,-0.37,-1518,-6.07,43
155,Entry long,2021-06-02 06:45,L|ORB|or:36.5|pd:20|on:topBreak|gap:+16.3|ent:close|risk:49.5|rr:0|n:1|h:9|m:45|dow:4,13700.5,1,27401,-102,-0.37,2,23,0.08,-101,-0.37,-1518,-6.07,43
156,Exit short,2021-06-03 07:55,SL,13571.5,1,26933.5,-211.5,-0.79,2,8,0.03,-210.5,-0.78,-1729.5,-6.92,14
156,Entry short,2021-06-03 06:45,S|ORB|or:82.3|pd:75|on:botBreak|gap:-118.8|ent:close|risk:104.25|rr:0|n:1|h:9|m:45|dow:5,13466.75,1,26933.5,-211.5,-0.79,2,8,0.03,-210.5,-0.78,-1729.5,-6.92,14
157,Exit long,2021-06-04 13:00,time,13765,1,27396,132,0.48,2,171,0.62,-1.5,-0.01,-1597.5,-6.39,73
157,Entry long,2021-06-04 06:55,L|ORB|or:77.5|pd:53|on:topBreak|gap:+82|ent:close|risk:92.75|rr:0|n:1|h:9|m:55|dow:6,13698,1,27396,132,0.48,2,171,0.62,-1.5,-0.01,-1597.5,-6.39,73
158,Exit short,2021-06-08 13:00,time,13812.25,1,27704,77.5,0.28,2,219,0.79,-6.5,-0.02,-1520,-6.08,74
