Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
438,Entry short,2023-08-08 06:45,S|ORB|or:62.3|pd:40|on:botBreak|gap:-107|ent:close|risk:93.5|rr:0|n:1|h:9|m:45|dow:3,15286.25,1,30572.5,-130,-0.43,2,139,0.45,-168.5,-0.55,7687.5,30.75,75
439,Exit short,2023-08-09 13:00,time,15197,1,30528,132,0.43,2,237,0.78,-85.5,-0.28,7819.5,31.28,68
439,Entry short,2023-08-09 07:20,S|ORB|or:87.8|pd:54|on:botBreak|gap:+10.8|ent:close|risk:105.25|rr:0|n:1|h:10|m:20|dow:4,15264,1,30528,132,0.43,2,237,0.78,-85.5,-0.28,7819.5,31.28,68
440,Exit long,2023-08-11 08:25,SL,15056.5,1,30264.5,-153.5,-0.51,2,83,0.27,-152.5,-0.50,7666,30.66,15
440,Entry long,2023-08-11 07:10,L|ORB|or:59.5|pd:19|on:botBreak|gap:-109.3|ent:close|risk:75.25|rr:0|n:1|h:10|m:10|dow:6,15132.25,1,30264.5,-153.5,-0.51,2,83,0.27,-152.5,-0.50,7666,30.66,15
441,Exit long,2023-08-16 08:50,SL,15050,1,30241,-143,-0.47,2,47,0.16,-142,-0.47,7523,30.09,25
441,Entry long,2023-08-16 06:45,L|ORB|or:58.3|pd:32|on:botBreak|gap:-25.5|ent:close|risk:70|rr:0|n:1|h:9|m:45|dow:4,15120.5,1,30241,-143,-0.47,2,47,0.16,-142,-0.47,7523,30.09,25
442,Exit long,2023-08-21 08:10,SL,14804.75,1,29827.5,-220,-0.74,2,36,0.12,-219,-0.73,7303,29.21,15
442,Entry long,2023-08-21 06:55,L|ORB|or:83.3|pd:43|on:topBreak|gap:+58.3|ent:close|risk:108.5|rr:0|n:1|h:9|m:55|dow:2,14913.75,1,29827.5,-220,-0.74,2,36,0.12,-219,-0.73,7303,29.21,15
443,Exit short,2023-08-24 13:00,time,14852.5,1,30317,610,2.01,2,642.5,2.12,-8.5,-0.03,7913,31.65,71
443,Entry short,2023-08-24 07:05,S|ORB|or:127.3|pd:52|on:botBreak|gap:+136.8|ent:close|risk:181.25|rr:0|n:1|h:10|m:5|dow:5,15158.5,1,30317,610,2.01,2,642.5,2.12,-8.5,-0.03,7913,31.65,71
444,Exit long,2023-08-25 07:25,SL,14891.25,1,29998,-217.5,-0.73,2,99,0.33,-216.5,-0.72,7695.5,30.78,3
444,Entry long,2023-08-25 07:10,L|ORB|or:56|pd:12|on:topBreak|gap:+38|ent:close|risk:107.25|rr:0|n:1|h:10|m:10|dow:6,14999,1,29998,-217.5,-0.73,2,99,0.33,-216.5,-0.72,7695.5,30.78,3
445,Exit short,2023-08-28 13:00,time,15096.75,1,30030,-165.5,-0.55,2,62,0.21,-191.5,-0.64,7530,30.12,62
445,Entry short,2023-08-28 07:50,S|ORB|or:91.5|pd:31|on:topBreak|gap:+120.5|ent:close|risk:112|rr:0|n:1|h:10|m:50|dow:2,15015,1,30030,-165.5,-0.55,2,62,0.21,-191.5,-0.64,7530,30.12,62
446,Exit long,2023-08-31 13:00,time,15541.5,1,31134,-53,-0.17,2,78.5,0.25,-147.5,-0.47,7477,29.91,73
446,Entry long,2023-08-31 06:55,L|ORB|or:65|pd:43|on:topBreak|gap:-9.3|ent:close|risk:78.5|rr:0|n:1|h:9|m:55|dow:5,15567,1,31134,-53,-0.17,2,78.5,0.25,-147.5,-0.47,7477,29.91,73
447,Exit short,2023-09-04 15:00,time,15525,1,31099.5,47.5,0.15,2,75,0.24,-3.5,-0.01,7524.5,30.10,31
447,Entry short,2023-09-04 07:25,S|ORB|or:21|pd:11|on:topBreak|gap:+35|ent:close|risk:25.75|rr:0|n:1|h:10|m:25|dow:2,15549.75,1,31099.5,47.5,0.15,2,75,0.24,-3.5,-0.01,7524.5,30.10,31
448,Exit long,2023-09-07 13:00,time,15269.25,1,30541.5,-5,-0.02,2,79,0.26,-148,-0.48,7519.5,30.08,64
448,Entry long,2023-09-07 07:40,L|ORB|or:83.3|pd:41|on:botBreak|gap:-197.8|ent:close|risk:113.5|rr:0|n:1|h:10|m:40|dow:5,15270.75,1,30541.5,-5,-0.02,2,79,0.26,-148,-0.48,7519.5,30.08,64
449,Exit long,2023-09-08 11:55,SL,15269.75,1,30750,-212.5,-0.69,2,30,0.10,-211.5,-0.69,7307,29.23,56
449,Entry long,2023-09-08 07:15,L|ORB|or:88.5|pd:58|on:topBreak|gap:-4.3|ent:close|risk:104.75|rr:0|n:1|h:10|m:15|dow:6,15375,1,30750,-212.5,-0.69,2,30,0.10,-211.5,-0.69,7307,29.23,56
450,Exit short,2023-09-11 10:30,SL,15449,1,30693.5,-206.5,-0.67,2,15,0.05,-205.5,-0.67,7100.5,28.40,40
450,Entry short,2023-09-11 07:10,S|ORB|or:74.3|pd:55|on:topBreak|gap:+124.5|ent:close|risk:101.75|rr:0|n:1|h:10|m:10|dow:2,15346.75,1,30693.5,-206.5,-0.67,2,15,0.05,-205.5,-0.67,7100.5,28.40,40
451,Exit short,2023-09-12 13:00,time,15501.25,1,31147.5,143,0.46,2,178.5,0.57,-85,-0.27,7243.5,28.97,63
451,Entry short,2023-09-12 07:45,S|ORB|or:61|pd:38|on:botBreak|gap:+125.5|ent:close|risk:71.25|rr:0|n:1|h:10|m:45|dow:3,15573.75,1,31147.5,143,0.46,2,178.5,0.57,-85,-0.27,7243.5,28.97,63
452,Exit short,2023-09-13 07:40,SL,15562.5,1,30950,-177,-0.57,2,41,0.13,-176,-0.57,7066.5,28.27,6
452,Entry short,2023-09-13 07:10,S|ORB|or:68.3|pd:39|on:topBreak|gap:+6|ent:close|risk:87|rr:0|n:1|h:10|m:10|dow:4,15475,1,30950,-177,-0.57,2,41,0.13,-176,-0.57,7066.5,28.27,6
453,Exit short,2023-09-15 13:00,time,15386.25,1,30977.5,203,0.66,2,263,0.85,-53,-0.17,7269.5,29.08,71
453,Entry short,2023-09-15 07:05,S|ORB|or:107.5|pd:59|on:botBreak|gap:-61.8|ent:close|risk:139.25|rr:0|n:1|h:10|m:5|dow:6,15488.75,1,30977.5,203,0.66,2,263,0.85,-53,-0.17,7269.5,29.08,71
454,Exit short,2023-09-19 10:45,SL,15374,1,30607,-143,-0.47,2,109,0.36,-142,-0.46,7126.5,28.51,46
454,Entry short,2023-09-19 06:55,S|ORB|or:49.3|pd:42|on:botBreak|gap:-58.3|ent:close|risk:70|rr:0|n:1|h:9|m:55|dow:3,15303.5,1,30607,-143,-0.47,2,109,0.36,-142,-0.46,7126.5,28.51,46
455,Exit long,2023-09-28 13:00,time,14856.75,1,29466.5,245,0.83,2,428.5,1.45,-109,-0.37,7371.5,29.49,74
455,Entry long,2023-09-28 06:50,L|ORB|or:55.5|pd:24|on:botBreak|gap:-49|ent:close|risk:77.25|rr:0|n:1|h:9|m:50|dow:5,14733.25,1,29466.5,245,0.83,2,428.5,1.45,-109,-0.37,7371.5,29.49,74
456,Exit long,2023-09-29 07:20,SL,14976,1,30059,-109,-0.36,2,61.5,0.20,-108,-0.36,7262.5,29.05,6
456,Entry long,2023-09-29 06:50,L|ORB|or:38.3|pd:13|on:topBreak|gap:+143.5|ent:close|risk:53|rr:0|n:1|h:9|m:50|dow:6,15029.5,1,30059,-109,-0.36,2,61.5,0.20,-108,-0.36,7262.5,29.05,6
457,Exit long,2023-10-09 13:00,time,15199.5,1,30117.5,279.5,0.93,2,307,1.02,-188.5,-0.63,7542,30.17,75
457,Entry long,2023-10-09 06:45,L|ORB|or:87.5|pd:19|on:botBreak|gap:-100.8|ent:close|risk:109.75|rr:0|n:1|h:9|m:45|dow:2,15058.75,1,30117.5,279.5,0.93,2,307,1.02,-188.5,-0.63,7542,30.17,75
458,Exit short,2023-10-11 13:00,SL,15388.25,1,30621.5,-157,-0.51,2,114.5,0.37,-156,-0.51,7385,29.54,72
458,Entry short,2023-10-11 07:00,S|ORB|or:64|pd:31|on:topBreak|gap:+55|ent:close|risk:77|rr:0|n:1|h:10|m:0|dow:4,15310.75,1,30621.5,-157,-0.51,2,114.5,0.37,-156,-0.51,7385,29.54,72
459,Exit short,2023-10-13 13:00,time,15110.5,1,30576.5,353.5,1.16,2,451.5,1.48,-36.5,-0.12,7738.5,30.95,70
459,Entry short,2023-10-13 07:10,S|ORB|or:64.5|pd:25|on:topBreak|gap:+27.5|ent:close|risk:79|rr:0|n:1|h:10|m:10|dow:6,15288.25,1,30576.5,353.5,1.16,2,451.5,1.48,-36.5,-0.12,7738.5,30.95,70
460,Exit long,2023-10-16 13:00,time,15292.5,1,30566,17,0.06,2,109,0.36,-143.5,-0.47,7755.5,31.02,68
460,Entry long,2023-10-16 07:20,L|ORB|or:91.3|pd:30|on:topBreak|gap:+54.3|ent:close|risk:114.5|rr:0|n:1|h:10|m:20|dow:2,15283,1,30566,17,0.06,2,109,0.36,-143.5,-0.47,7755.5,31.02,68
461,Exit short,2023-10-17 07:05,SL,15142.75,1,30166.5,-121,-0.40,2,65.5,0.22,-120,-0.40,7634.5,30.54,4
461,Entry short,2023-10-17 06:45,S|ORB|or:39.8|pd:23|on:botBreak|gap:-154.8|ent:close|risk:59|rr:0|n:1|h:9|m:45|dow:3,15083.25,1,30166.5,-121,-0.40,2,65.5,0.22,-120,-0.40,7634.5,30.54,4
462,Exit short,2023-10-19 09:00,SL,15110,1,30006.5,-215.5,-0.72,2,73,0.24,-214.5,-0.71,7419,29.68,19
462,Entry short,2023-10-19 07:25,S|ORB|or:88.3|pd:36|on:topBreak|gap:+64|ent:close|risk:106.25|rr:0|n:1|h:10|m:25|dow:5,15003.25,1,30006.5,-215.5,-0.72,2,73,0.24,-214.5,-0.71,7419,29.68,19
463,Exit long,2023-10-23 13:00,time,14731.25,1,29315,145.5,0.50,2,392.5,1.34,-48.5,-0.17,7564.5,30.26,70
463,Entry long,2023-10-23 07:10,L|ORB|or:115.8|pd:49|on:botBreak|gap:-59.5|ent:close|risk:143.5|rr:0|n:1|h:10|m:10|dow:2,14657.5,1,29315,145.5,0.50,2,392.5,1.34,-48.5,-0.17,7564.5,30.26,70
464,Exit long,2023-10-24 09:20,SL,14761.75,1,29731,-209.5,-0.70,2,23.5,0.08,-208.5,-0.70,7355,29.42,21
464,Entry long,2023-10-24 07:35,L|ORB|or:74.8|pd:22|on:topBreak|gap:+72|ent:close|risk:103.25|rr:0|n:1|h:10|m:35|dow:3,14865.5,1,29731,-209.5,-0.70,2,23.5,0.08,-208.5,-0.70,7355,29.42,21
465,Exit short,2023-10-26 13:00,time,14226.5,1,28688.5,233.5,0.81,2,414.5,1.44,-81,-0.28,7588.5,30.35,74
465,Entry short,2023-10-26 06:50,S|ORB|or:90.5|pd:30|on:topBreak|gap:-55.8|ent:close|risk:115.25|rr:0|n:1|h:9|m:50|dow:5,14344.25,1,28688.5,233.5,0.81,2,414.5,1.44,-81,-0.28,7588.5,30.35,74
466,Exit short,2023-10-27 07:05,SL,14350.25,1,28584,-118.5,-0.41,2,1,0.00,-117.5,-0.41,7470,29.88,3
466,Entry short,2023-10-27 06:50,S|ORB|or:47.3|pd:15|on:topBreak|gap:+112.3|ent:close|risk:57.75|rr:0|n:1|h:9|m:50|dow:6,14292,1,28584,-118.5,-0.41,2,1,0.00,-117.5,-0.41,7470,29.88,3
467,Exit long,2023-10-30 07:25,SL,14334,1,28925,-259,-0.90,2,26.5,0.09,-258,-0.89,7211,28.84,8
467,Entry long,2023-10-30 06:45,L|ORB|or:102.5|pd:52|on:topBreak|gap:+99|ent:close|risk:128|rr:0|n:1|h:9|m:45|dow:2,14462.5,1,28925,-259,-0.90,2,26.5,0.09,-258,-0.89,7211,28.84,8
468,Exit long,2023-11-01 13:00,time,14745.75,1,29262.5,227,0.78,2,260.5,0.89,-147,-0.50,7438,29.75,68
468,Entry long,2023-11-01 07:20,L|ORB|or:53.5|pd:28|on:topBreak|gap:+30.5|ent:close|risk:116.25|rr:0|n:1|h:10|m:20|dow:4,14631.25,1,29262.5,227,0.78,2,260.5,0.89,-147,-0.50,7438,29.75,68
469,Exit long,2023-11-03 13:00,time,15182,1,30231,131,0.43,2,225,0.74,-128.5,-0.43,7569,30.28,75
469,Entry long,2023-11-03 06:45,L|ORB|or:54|pd:39|on:topBreak|gap:+51.8|ent:close|risk:75.5|rr:0|n:1|h:9|m:45|dow:6,15115.5,1,30231,131,0.43,2,225,0.74,-128.5,-0.43,7569,30.28,75
470,Exit short,2023-11-06 13:00,time,15227,1,30373,-83,-0.27,2,96,0.32,-120.5,-0.40,7486,29.94,70
470,Entry short,2023-11-06 07:10,S|ORB|or:54.3|pd:29|on:topBreak|gap:+30|ent:close|risk:71.25|rr:0|n:1|h:10|m:10|dow:2,15186.5,1,30373,-83,-0.27,2,96,0.32,-120.5,-0.40,7486,29.94,70
471,Exit long,2023-11-07 13:00,time,15374.25,1,30596.5,150,0.49,2,228,0.75,-51.5,-0.17,7636,30.54,73
471,Entry long,2023-11-07 06:55,L|ORB|or:62.5|pd:52|on:topBreak|gap:+42.3|ent:close|risk:74|rr:0|n:1|h:9|m:55|dow:3,15298.25,1,30596.5,150,0.49,2,228,0.75,-51.5,-0.17,7636,30.54,73
472,Exit short,2023-11-08 13:00,time,15377.5,1,30712.5,-44.5,-0.14,2,138.5,0.45,-77.5,-0.25,7591.5,30.37,72
472,Entry short,2023-11-08 07:00,S|ORB|or:42.3|pd:22|on:topBreak|gap:+13.5|ent:close|risk:60|rr:0|n:1|h:10|m:0|dow:4,15356.25,1,30712.5,-44.5,-0.14,2,138.5,0.45,-77.5,-0.25,7591.5,30.37,72
473,Exit short,2023-11-09 08:05,SL,15420,1,30708,-134,-0.44,2,12.5,0.04,-133,-0.43,7457.5,29.83,7
473,Entry short,2023-11-09 07:30,S|ORB|or:53.5|pd:41|on:topBreak|gap:+20|ent:close|risk:65.5|rr:0|n:1|h:10|m:30|dow:5,15354,1,30708,-134,-0.44,2,12.5,0.04,-133,-0.43,7457.5,29.83,7
474,Exit long,2023-11-10 13:00,time,15596,1,30810,380,1.23,2,407,1.32,-4.5,-0.01,7837.5,31.35,60
474,Entry long,2023-11-10 08:00,L|ORB|or:75.3|pd:35|on:topBreak|gap:+69.5|ent:close|risk:99.75|rr:0|n:1|h:11|m:0|dow:6,15405,1,30810,380,1.23,2,407,1.32,-4.5,-0.01,7837.5,31.35,60
475,Exit long,2023-11-13 13:00,time,15551.75,1,31111,-9.5,-0.03,2,67,0.22,-37.5,-0.12,7828,31.31,59
475,Entry long,2023-11-13 08:05,L|ORB|or:55|pd:18|on:botBreak|gap:-67.8|ent:close|risk:71.75|rr:0|n:1|h:11|m:5|dow:2,15555.5,1,31111,-9.5,-0.03,2,67,0.22,-37.5,-0.12,7828,31.31,59
476,Exit long,2023-11-14 13:00,time,15894.25,1,31768.5,18,0.06,2,68,0.21,-125.5,-0.40,7846,31.38,72
476,Entry long,2023-11-14 07:00,L|ORB|or:66.8|pd:54|on:topBreak|gap:+264.5|ent:close|risk:94.5|rr:0|n:1|h:10|m:0|dow:3,15884.25,1,31768.5,18,0.06,2,68,0.21,-125.5,-0.40,7846,31.38,72
477,Exit long,2023-11-20 13:00,time,16084.5,1,32000,167,0.52,2,232.5,0.73,-2.5,-0.01,8013,32.05,61
477,Entry long,2023-11-20 07:55,L|ORB|or:88.3|pd:76|on:topBreak|gap:-2.5|ent:close|risk:105.5|rr:0|n:1|h:10|m:55|dow:2,16000,1,32000,167,0.52,2,232.5,0.73,-2.5,-0.01,8013,32.05,61
478,Exit short,2023-11-21 13:00,time,15981,1,31889.5,-74.5,-0.23,2,54.5,0.17,-113,-0.35,7938.5,31.75,68
478,Entry short,2023-11-21 07:20,S|ORB|or:40.8|pd:18|on:botBreak|gap:-75.8|ent:close|risk:76.75|rr:0|n:1|h:10|m:20|dow:3,15944.75,1,31889.5,-74.5,-0.23,2,54.5,0.17,-113,-0.35,7938.5,31.75,68
479,Exit short,2023-11-22 13:00,time,16048.25,1,32042.5,-56,-0.17,2,31,0.10,-168,-0.52,7882.5,31.53,72
479,Entry short,2023-11-22 07:00,S|ORB|or:103.8|pd:100|on:topBreak|gap:+81|ent:close|risk:152.25|rr:0|n:1|h:10|m:0|dow:4,16021.25,1,32042.5,-56,-0.17,2,31,0.10,-168,-0.52,7882.5,31.53,72
480,Exit short,2023-11-29 13:00,time,16036.75,1,32248,172.5,0.53,2,220,0.68,-18.5,-0.06,8055,32.22,71
480,Entry short,2023-11-29 07:05,S|ORB|or:61.3|pd:54|on:topBreak|gap:+99.5|ent:close|risk:84|rr:0|n:1|h:10|m:5|dow:4,16124,1,32248,172.5,0.53,2,220,0.68,-18.5,-0.06,8055,32.22,71
481,Exit short,2023-11-30 13:00,time,15970.25,1,31843,-99.5,-0.31,2,130.5,0.41,-156,-0.49,7955.5,31.82,72
481,Entry short,2023-11-30 07:00,S|ORB|or:90.5|pd:47|on:botBreak|gap:+6.8|ent:close|risk:130.25|rr:0|n:1|h:10|m:0|dow:5,15921.5,1,31843,-99.5,-0.31,2,130.5,0.41,-156,-0.49,7955.5,31.82,72
482,Exit long,2023-12-01 13:00,time,16034.25,1,31953.5,113,0.35,2,145.5,0.46,-94,-0.29,8068.5,32.27,58
482,Entry long,2023-12-01 08:10,L|ORB|or:61.3|pd:31|on:botBreak|gap:-47.3|ent:close|risk:101.5|rr:0|n:1|h:11|m:10|dow:6,15976.75,1,31953.5,113,0.35,2,145.5,0.46,-94,-0.29,8068.5,32.27,58
483,Exit short,2023-12-04 12:50,SL,15877,1,31609.5,-146.5,-0.46,2,166,0.53,-145.5,-0.46,7922,31.69,67
483,Entry short,2023-12-04 07:15,S|ORB|or:44.5|pd:24|on:botBreak|gap:-162.8|ent:close|risk:71.75|rr:0|n:1|h:10|m:15|dow:2,15804.75,1,31609.5,-146.5,-0.46,2,166,0.53,-145.5,-0.46,7922,31.69,67
484,Exit short,2023-12-06 13:00,time,15818.5,1,31840.5,201.5,0.63,2,235.5,0.74,-105.5,-0.33,8123.5,32.49,72
484,Entry short,2023-12-06 07:00,S|ORB|or:102.5|pd:57|on:topBreak|gap:+121.8|ent:close|risk:119|rr:0|n:1|h:10|m:0|dow:4,15920.25,1,31840.5,201.5,0.63,2,235.5,0.74,-105.5,-0.33,8123.5,32.49,72
485,Exit long,2023-12-07 13:00,time,16026,1,32010.5,39.5,0.12,2,120,0.37,-150,-0.47,8163,32.65,65
485,Entry long,2023-12-07 07:35,L|ORB|or:75|pd:32|on:topBreak|gap:+119.3|ent:close|risk:98.5|rr:0|n:1|h:10|m:35|dow:5,16005.25,1,32010.5,39.5,0.12,2,120,0.37,-150,-0.47,8163,32.65,65
486,Exit long,2023-12-11 13:00,time,16236.75,1,32320.5,151,0.47,2,171,0.53,-78.5,-0.24,8314,33.26,73
486,Entry long,2023-12-11 06:55,L|ORB|or:78.3|pd:45|on:topBreak|gap:-21|ent:close|risk:92|rr:0|n:1|h:9|m:55|dow:2,16160.25,1,32320.5,151,0.47,2,171,0.53,-78.5,-0.24,8314,33.26,73
487,Exit long,2023-12-12 13:00,time,16594,1,32934.5,251.5,0.76,2,257,0.78,-26.5,-0.08,8565.5,34.26,73
487,Entry long,2023-12-12 06:55,L|ORB|or:52.5|pd:30|on:botBreak|gap:+210.3|ent:close|risk:71|rr:0|n:1|h:9|m:55|dow:3,16467.25,1,32934.5,251.5,0.76,2,257,0.78,-26.5,-0.08,8565.5,34.26,73
488,Exit long,2023-12-15 10:40,SL,16779.5,1,33726.5,-169.5,-0.50,2,47,0.14,-168.5,-0.50,8396,33.58,39
488,Entry long,2023-12-15 07:25,L|ORB|or:64|pd:26|on:topBreak|gap:+32.3|ent:close|risk:83.25|rr:0|n:1|h:10|m:25|dow:6,16863.25,1,33726.5,-169.5,-0.50,2,47,0.14,-168.5,-0.50,8396,33.58,39
489,Exit long,2023-12-18 13:00,time,16925.75,1,33791.5,58,0.17,2,156,0.46,-81,-0.24,8454,33.82,72
489,Entry long,2023-12-18 07:00,L|ORB|or:46.3|pd:37|on:topBreak|gap:+26.8|ent:close|risk:64|rr:0|n:1|h:10|m:0|dow:2,16895.75,1,33791.5,58,0.17,2,156,0.46,-81,-0.24,8454,33.82,72
490,Exit long,2023-12-19 13:00,time,17020.25,1,34015,23.5,0.07,2,43,0.13,-86,-0.25,8477.5,33.91,60
490,Entry long,2023-12-19 08:00,L|ORB|or:50.8|pd:36|on:topBreak|gap:+14.5|ent:close|risk:63.25|rr:0|n:1|h:11|m:0|dow:3,17007.5,1,34015,23.5,0.07,2,43,0.13,-86,-0.25,8477.5,33.91,60
491,Exit short,2023-12-27 10:10,SL,17122.5,1,34123,-124,-0.36,2,6,0.02,-123,-0.36,8353.5,33.41,36
491,Entry short,2023-12-27 07:10,S|ORB|or:30|pd:28|on:topBreak|gap:+8|ent:close|risk:60.5|rr:0|n:1|h:10|m:10|dow:4,17061.5,1,34123,-124,-0.36,2,6,0.02,-123,-0.36,8353.5,33.41,36
492,Exit short,2023-12-28 13:00,time,17096.25,1,34218.5,24,0.07,2,61.5,0.18,-57.5,-0.17,8377.5,33.51,57
492,Entry short,2023-12-28 08:15,S|ORB|or:42.3|pd:59|on:botBreak|gap:+32|ent:close|risk:50|rr:0|n:1|h:11|m:15|dow:5,17109.25,1,34218.5,24,0.07,2,61.5,0.18,-57.5,-0.17,8377.5,33.51,57
493,Exit short,2024-01-02 13:00,time,16732,1,33474,8,0.02,2,229,0.68,-104.5,-0.31,8385.5,33.54,75
493,Entry short,2024-01-02 06:45,S|ORB|or:105.5|pd:62|on:botBreak|gap:-157|ent:close|risk:136.75|rr:0|n:1|h:9|m:45|dow:3,16737,1,33474,8,0.02,2,229,0.68,-104.5,-0.31,8385.5,33.54,75
494,Exit short,2024-01-03 13:00,time,16534,1,33139,69,0.21,2,93.5,0.28,-119,-0.36,8454.5,33.82,70
494,Entry short,2024-01-03 07:10,S|ORB|or:60.5|pd:24|on:botBreak|gap:-111|ent:close|risk:72.75|rr:0|n:1|h:10|m:10|dow:4,16569.5,1,33139,69,0.21,2,93.5,0.28,-119,-0.36,8454.5,33.82,70
495,Exit long,2024-01-04 12:55,SL,16442.25,1,33027.5,-145,-0.44,2,139.5,0.42,-144,-0.44,8309.5,33.24,70
495,Entry long,2024-01-04 07:05,L|ORB|or:57|pd:43|on:botBreak|gap:-87.3|ent:close|risk:71|rr:0|n:1|h:10|m:5|dow:5,16513.75,1,33027.5,-145,-0.44,2,139.5,0.42,-144,-0.44,8309.5,33.24,70
496,Exit long,2024-01-05 10:15,SL,16436.5,1,33080.5,-209.5,-0.63,2,72.5,0.22,-208.5,-0.63,8100,32.40,39
496,Entry long,2024-01-05 07:00,L|ORB|or:57|pd:38|on:topBreak|gap:+5|ent:close|risk:103.25|rr:0|n:1|h:10|m:0|dow:6,16540.25,1,33080.5,-209.5,-0.63,2,72.5,0.22,-208.5,-0.63,8100,32.40,39
497,Exit long,2024-01-08 13:00,time,16800.5,1,33186,413,1.24,2,436,1.31,-20.5,-0.06,8513,34.05,74
497,Entry long,2024-01-08 06:50,L|ORB|or:73|pd:42|on:topBreak|gap:+48.3|ent:close|risk:88|rr:0|n:1|h:9|m:50|dow:2,16593,1,33186,413,1.24,2,436,1.31,-20.5,-0.06,8513,34.05,74
498,Exit short,2024-01-12 13:00,time,16960,1,33918,-4,-0.01,2,90.5,0.27,-93,-0.27,8509,34.04,72
498,Entry short,2024-01-12 07:00,S|ORB|or:65|pd:22|on:topBreak|gap:+43|ent:close|risk:80.25|rr:0|n:1|h:10|m:0|dow:6,16959,1,33918,-4,-0.01,2,90.5,0.27,-93,-0.27,8509,34.04,72
499,Exit short,2024-01-17 11:45,SL,16843.5,1,33414.5,-274.5,-0.82,2,35.5,0.11,-273.5,-0.82,8234.5,32.94,58
499,Entry short,2024-01-17 06:55,S|ORB|or:109.8|pd:61|on:botBreak|gap:-142.8|ent:close|risk:135.75|rr:0|n:1|h:9|m:55|dow:4,16707.25,1,33414.5,-274.5,-0.82,2,35.5,0.11,-273.5,-0.82,8234.5,32.94,58
500,Exit long,2024-01-18 09:10,SL,16994.75,1,34134,-146.5,-0.43,2,70,0.21,-145.5,-0.43,8088,32.35,18
500,Entry long,2024-01-18 07:40,L|ORB|or:59.3|pd:30|on:topBreak|gap:+128|ent:close|risk:71.75|rr:0|n:1|h:10|m:40|dow:5,17067,1,34134,-146.5,-0.43,2,70,0.21,-145.5,-0.43,8088,32.35,18
501,Exit short,2024-01-22 13:00,time,17447,1,34945,49,0.14,2,75.5,0.22,-84,-0.24,8137,32.55,66
501,Entry short,2024-01-22 07:30,S|ORB|or:93|pd:33|on:topBreak|gap:+85.5|ent:close|risk:112.5|rr:0|n:1|h:10|m:30|dow:2,17472.5,1,34945,49,0.14,2,75.5,0.22,-84,-0.24,8137,32.55,66
502,Exit long,2024-01-24 11:20,SL,17636.5,1,35411,-140,-0.40,2,176,0.50,-139,-0.39,7997,31.99,48
502,Entry long,2024-01-24 07:20,L|ORB|or:58.3|pd:45|on:topBreak|gap:+163.5|ent:close|risk:68.5|rr:0|n:1|h:10|m:20|dow:4,17705.5,1,35411,-140,-0.40,2,176,0.50,-139,-0.39,7997,31.99,48
503,Exit long,2024-02-02 13:00,time,17712.5,1,35230,193,0.55,2,320,0.91,-134.5,-0.38,8190,32.76,68
503,Entry long,2024-02-02 07:20,L|ORB|or:112.5|pd:59|on:botBreak|gap:+68.3|ent:close|risk:149.5|rr:0|n:1|h:10|m:20|dow:6,17615,1,35230,193,0.55,2,320,0.91,-134.5,-0.38,8190,32.76,68
504,Exit long,2024-02-13 11:50,SL,17585.75,1,35357,-187.5,-0.53,2,226,0.64,-186.5,-0.53,8002.5,32.01,60
504,Entry long,2024-02-13 06:50,L|ORB|or:79|pd:43|on:botBreak|gap:-335.3|ent:close|risk:92.25|rr:0|n:1|h:9|m:50|dow:3,17678.5,1,35357,-187.5,-0.53,2,226,0.64,-186.5,-0.53,8002.5,32.01,60
505,Exit long,2024-02-14 08:00,SL,17742.25,1,35686.5,-204,-0.57,2,6.5,0.02,-203,-0.57,7798.5,31.19,8
505,Entry long,2024-02-14 07:20,L|ORB|or:75.8|pd:31|on:topBreak|gap:+108.5|ent:close|risk:100.5|rr:0|n:1|h:10|m:20|dow:4,17843.25,1,35686.5,-204,-0.57,2,6.5,0.02,-203,-0.57,7798.5,31.19,8
506,Exit short,2024-02-15 10:15,SL,17903.75,1,35650,-159.5,-0.45,2,88.5,0.25,-158.5,-0.44,7639,30.56,41
506,Entry short,2024-02-15 06:50,S|ORB|or:64.5|pd:33|on:botBreak|gap:+18.8|ent:close|risk:78.25|rr:0|n:1|h:9|m:50|dow:5,17825,1,35650,-159.5,-0.45,2,88.5,0.25,-158.5,-0.44,7639,30.56,41
507,Exit short,2024-02-16 13:00,time,17734,1,35724,254,0.71,2,295.5,0.83,-84,-0.24,7893,31.57,75
507,Entry short,2024-02-16 06:45,S|ORB|or:53|pd:35|on:botBreak|gap:+12.8|ent:close|risk:68.75|rr:0|n:1|h:9|m:45|dow:6,17862,1,35724,254,0.71,2,295.5,0.83,-84,-0.24,7893,31.57,75
508,Exit short,2024-02-19 15:00,time,17783.25,1,35560.5,-8,-0.02,2,15,0.04,-34,-0.10,7885,31.54,32
508,Entry short,2024-02-19 07:20,S|ORB|or:22.5|pd:10|on:topBreak|gap:+42.5|ent:close|risk:27.25|rr:0|n:1|h:10|m:20|dow:2,17780.25,1,35560.5,-8,-0.02,2,15,0.04,-34,-0.10,7885,31.54,32
509,Exit short,2024-02-20 13:00,time,17599.5,1,35033.5,-167.5,-0.48,2,127.5,0.36,-196,-0.56,7717.5,30.87,70
