date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2020-12-18,2020-12-18 10:20:00-05:00,L,12725.25,12.414594312970678,down,12682.5,2020-12-18 10:19:00-05:00,12765.75,,12717.45,12725.5,12725.75,8.05,2020-12-18 10:22:00-05:00,12717.2,SL,-19.099999999998545,-1.1863354037266176,True,0.8952380952380953
2021-01-05,2021-01-05 10:18:00-05:00,S,12751.25,18.538081135762813,up,12772.5,2021-01-05 10:02:00-05:00,12639.25,,12769.45,12747.75,12747.5,21.7,2021-01-05 14:01:00-05:00,12769.7,SL,-46.400000000001455,-1.0691244239631672,True,1.45
2021-01-12,2021-01-12 10:12:00-05:00,L,12890.75,20.396048812343007,down,12865.5,2021-01-12 10:11:00-05:00,12947.5,,12883.9,12894.5,12894.75,10.6,2021-01-12 10:13:00-05:00,12883.65,SL,-24.200000000000728,-1.1415094339622984,True,0.8217054263565892
2021-01-18,2021-01-18 10:09:00-05:00,S,12810.75,6.879567989100074,up,12815.0,2021-01-18 10:04:00-05:00,12784.25,,12815.45,12810.25,12810.0,5.2,2021-01-18 12:50:00-05:00,12812.0,time,-6.0,-0.5769230769230769,True,0.8407494145199064
2021-01-26,2021-01-26 10:18:00-05:00,S,13477.5,17.89030847084726,up,13507.0,2021-01-26 10:11:00-05:00,13426.5,,13470.9,13463.5,13463.25,7.4,2021-01-26 10:21:00-05:00,13471.15,SL,-17.799999999999272,-1.2027027027026536,False,1.0580204778156996
2021-03-11,2021-03-11 10:26:00-05:00,S,12965.25,28.86182036293147,up,13005.5,2021-03-11 10:18:00-05:00,12896.25,,12975.75,12962.5,12962.25,13.25,2021-03-11 10:30:00-05:00,12976.0,SL,-29.5,-1.1132075471698113,True,1.4385749385749387
2021-03-22,2021-03-22 10:09:00-04:00,S,13008.0,18.155077977755887,up,13026.75,2021-03-22 10:02:00-04:00,12946.25,,13014.95,13003.5,13003.25,11.45,2021-03-22 10:10:00-04:00,13015.2,SL,-25.900000000001455,-1.1310043668122907,True,0.6529080675422139
2021-05-17,2021-05-17 10:30:00-04:00,L,13285.75,20.961297198790287,down,13238.0,2021-05-17 10:19:00-04:00,13343.0,,13282.4,13292.5,13292.75,10.1,2021-05-17 10:31:00-04:00,13282.15,SL,-23.200000000000728,-1.1485148514851846,True,1.298283261802575
2021-06-08,2021-06-08 10:15:00-04:00,L,13839.75,17.325385317757075,down,13822.5,2021-06-08 10:08:00-04:00,13916.75,,13824.95,13840.25,13840.5,15.3,2021-06-08 10:30:00-04:00,13824.7,SL,-33.599999999998545,-1.0980392156862269,True,0.7726879861711322
2021-06-23,2021-06-23 10:07:00-04:00,S,14305.5,13.984216034625394,up,14316.75,2021-06-23 10:02:00-04:00,14268.75,,14306.55,14300.25,14300.0,6.3,2021-06-23 10:08:00-04:00,14306.8,SL,-15.599999999998545,-1.2380952380951227,True,0.7734375
2021-06-25,2021-06-25 10:15:00-04:00,L,14341.5,13.602688445014978,down,14323.5,2021-06-25 10:04:00-04:00,14388.0,,14334.3,14343.25,14343.5,8.95,2021-06-25 11:03:00-04:00,14334.05,SL,-20.900000000001455,-1.16759776536321,True,0.6702702702702703
