date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2021-03-05,2021-03-05 10:03:00-05:00,L,12423.5,49.03537728221668,down,12385.75,2021-03-05 10:02:00-05:00,12525.0,,12389.666666666666,12423.5,12423.75,33.833333333333336,2021-03-05 10:12:00-05:00,12389.416666666666,SL,-70.66666666666788,-1.044334975369476,True,1.8984034833091437
2021-03-11,2021-03-11 10:26:00-05:00,S,12965.25,28.86182036293147,up,13005.5,2021-03-11 10:18:00-05:00,12896.25,,12988.25,12965.25,12965.0,23.0,2021-03-11 10:38:00-05:00,12988.5,SL,-49.0,-1.065217391304348,True,1.4385749385749387
2021-03-22,2021-03-22 10:05:00-04:00,S,13008.0,18.155077977755887,up,13026.75,2021-03-22 10:02:00-04:00,12946.25,,13028.583333333334,13008.0,13007.75,20.583333333333332,2021-03-22 10:28:00-04:00,13028.833333333334,SL,-44.16666666666788,-1.072874493927155,True,0.6529080675422139
2021-04-09,2021-04-09 10:33:00-04:00,S,13720.5,17.062009624768223,up,13746.75,2021-04-09 10:29:00-04:00,13658.25,,13741.25,13720.5,13720.25,20.75,2021-04-09 11:34:00-04:00,13741.5,SL,-44.5,-1.072289156626506,True,1.3520632133450394
2021-04-22,2021-04-22 10:11:00-04:00,L,13881.75,15.38632182352464,down,13857.0,2021-04-22 10:06:00-04:00,13913.5,,13871.166666666666,13881.75,13882.0,10.583333333333334,2021-04-22 10:16:00-04:00,13870.916666666666,SL,-24.16666666666788,-1.1417322834646242,True,0.4857142857142857
2021-05-04,2021-05-04 10:29:00-04:00,L,13543.0,22.57171085991107,down,13492.75,2021-05-04 10:28:00-04:00,13696.5,,13491.833333333334,13543.0,13543.25,51.166666666666664,2021-05-04 10:48:00-04:00,13491.583333333334,SL,-105.33333333333212,-1.0293159609120404,True,1.6011315417256011
2021-05-17,2021-05-17 10:29:00-04:00,L,13285.75,20.961297198790287,down,13238.0,2021-05-17 10:19:00-04:00,13343.0,,13266.666666666666,13285.75,13286.0,19.083333333333332,2021-05-17 10:32:00-04:00,13266.416666666666,SL,-41.16666666666788,-1.0786026200873682,True,1.298283261802575
2021-06-02,2021-06-02 10:08:00-04:00,L,13679.0,12.896840061801468,down,13663.75,2021-06-02 10:07:00-04:00,13709.0,,13669.0,13679.0,13679.25,10.0,2021-06-02 10:12:00-04:00,13668.75,SL,-23.0,-1.15,False,0.41803989592367735
2021-06-08,2021-06-08 10:15:00-04:00,L,13839.75,17.325385317757075,down,13822.5,2021-06-08 10:08:00-04:00,13916.75,,13814.083333333334,13839.75,13840.0,25.666666666666668,2021-06-08 10:31:00-04:00,13813.833333333334,SL,-54.33333333333212,-1.0584415584415348,True,0.7726879861711322
2021-06-10,2021-06-10 10:16:00-04:00,S,13944.0,22.88859858184517,up,13960.25,2021-06-10 10:10:00-04:00,13811.25,,13988.25,13944.0,13943.75,44.25,2021-06-10 15:59:00-04:00,13960.25,time,-35.0,-0.3954802259887006,True,1.147766323024055
2021-06-16,2021-06-16 10:04:00-04:00,S,14079.75,10.036808926620408,up,14086.5,2021-06-16 10:02:00-04:00,14042.5,,14092.166666666666,14079.75,14079.5,12.416666666666666,2021-06-16 10:07:00-04:00,14092.416666666666,SL,-27.83333333333212,-1.120805369127468,True,0.3828125
