family,side,entry_time,sweep_t,inv_t,pnl,R,sgn,sweep_delta,sweep_cum,sweep_div,entry_delta,stack,absorption,year
IFVG-1m,L,2025-06-04 10:09:00-04:00,2025-06-04 10:08:00-04:00,2025-06-04 10:09:00-04:00,135.0,1.5083798882681565,1,-165.0,156.0,0.018154936277357328,309.0,3.0,14.434482758620689,2025
IFVG-1m,L,2025-07-14 09:47:00-04:00,2025-07-14 09:43:00-04:00,2025-07-14 09:47:00-04:00,231.0,2.9615384615384617,1,-181.0,-2161.0,-0.05490543211569164,135.0,6.0,21.720338983050848,2025
IFVG-1m,S,2025-07-25 10:04:00-04:00,2025-07-25 09:51:00-04:00,2025-07-25 10:04:00-04:00,-49.0,-1.065217391304348,-1,-247.0,-438.0,-0.022083222399308135,206.0,2.0,27.03846153846154,2025
IFVG-1m,L,2025-07-31 10:44:00-04:00,2025-07-31 10:37:00-04:00,2025-07-31 10:44:00-04:00,-44.5,-1.072289156626506,1,-367.0,-5165.0,-0.038593496578434534,47.0,2.0,16.940298507462686,2025
IFVG-1m,L,2025-08-04 10:47:00-04:00,2025-08-04 10:45:00-04:00,2025-08-04 10:47:00-04:00,-58.5,-1.054054054054054,1,-137.0,1446.0,0.000635552640275391,77.0,4.0,17.15686274509804,2025
IFVG-1m,S,2025-08-06 09:50:00-04:00,2025-08-06 09:31:00-04:00,2025-08-06 09:50:00-04:00,-93.0,-1.0333333333333334,-1,-393.0,-374.0,-0.06392038028898173,232.0,4.0,23.78181818181818,2025
IFVG-1m,L,2025-08-13 10:14:00-04:00,2025-08-13 10:11:00-04:00,2025-08-13 10:14:00-04:00,-39.5,-1.082191780821918,1,-209.0,-2070.0,-0.015539156964449468,167.0,4.0,17.430555555555557,2025
IFVG-1m,S,2025-08-21 09:40:00-04:00,2025-08-21 09:37:00-04:00,2025-08-21 09:40:00-04:00,-96.0,-1.032258064516129,-1,-66.0,-108.0,0.015187950398060836,304.0,3.0,16.82962962962963,2025
IFVG-1m,S,2025-09-02 09:47:00-04:00,2025-09-02 09:36:00-04:00,2025-09-02 09:47:00-04:00,-83.0,-1.0375,-1,-86.0,-942.0,-0.07708976076184937,310.0,7.0,16.178571428571427,2025
IFVG-1m,L,2025-09-04 10:07:00-04:00,2025-09-04 10:04:00-04:00,2025-09-04 10:07:00-04:00,-51.5,-1.0618556701030928,1,-165.0,-1115.0,0.01467921489747687,83.0,3.0,17.3943661971831,2025
IFVG-1m,S,2025-09-25 10:26:00-04:00,2025-09-25 10:24:00-04:00,2025-09-25 10:26:00-04:00,-41.5,-1.077922077922078,-1,-276.0,-1342.0,1.0591125088599967e-05,77.0,2.0,19.983870967741936,2025
IFVG-1m,S,2025-09-25 10:45:00-04:00,2025-09-25 10:42:00-04:00,2025-09-25 10:45:00-04:00,-56.0,-1.0566037735849056,-1,-14.0,2.0,0.005578148074725659,69.0,3.0,31.754716981132077,2025
IFVG-1m,S,2025-09-29 10:12:00-04:00,2025-09-29 09:43:00-04:00,2025-09-29 10:12:00-04:00,141.0,2.9375,-1,-224.0,-1320.0,-0.05551313211693205,61.0,2.0,21.545454545454547,2025
IFVG-1m,L,2025-10-14 09:39:00-04:00,2025-10-14 09:37:00-04:00,2025-10-14 09:39:00-04:00,-83.0,-1.0375,1,-142.0,-764.0,0.009435823134472752,140.0,2.0,29.90277777777778,2025
IFVG-1m,L,2025-10-14 10:54:00-04:00,2025-10-14 10:52:00-04:00,2025-10-14 10:54:00-04:00,187.5,2.952755905511811,1,-191.0,1200.0,0.0001156095067750447,234.0,3.0,20.843373493975903,2025
IFVG-1m,L,2025-10-21 10:34:00-04:00,2025-10-21 10:28:00-04:00,2025-10-21 10:34:00-04:00,174.0,2.9491525423728815,1,-514.0,-1121.0,-0.012404591594290654,119.0,2.0,18.82,2025
IFVG-1m,L,2025-10-22 09:38:00-04:00,2025-10-22 09:33:00-04:00,2025-10-22 09:38:00-04:00,172.5,2.948717948717949,1,-541.0,-886.0,-0.01837248707924638,104.0,1.0,28.275862068965516,2025
IFVG-1m,L,2025-11-06 09:45:00-05:00,2025-11-06 09:35:00-05:00,2025-11-06 09:45:00-05:00,-117.0,-1.0263157894736843,1,-221.0,-418.0,-0.00984113051223327,525.0,4.0,18.803571428571427,2025
IFVG-1m,L,2026-01-16 10:23:00-05:00,2026-01-16 09:44:00-05:00,2026-01-16 10:23:00-05:00,-107.5,-1.0287081339712918,1,-306.0,-1428.0,-0.025245921447314225,370.0,5.0,15.8,2026
IFVG-1m,S,2026-02-05 09:41:00-05:00,2026-02-05 09:38:00-05:00,2026-02-05 09:41:00-05:00,-152.5,-1.020066889632107,-1,-341.0,-1765.0,-0.02810858048238253,402.0,4.0,11.926910299003323,2026
IFVG-1m,S,2026-02-05 10:45:00-05:00,2026-02-05 10:39:00-05:00,2026-02-05 10:45:00-05:00,-166.5,-1.018348623853211,-1,-209.0,-2119.0,-0.0037718481715691976,261.0,5.0,7.037162162162162,2026
IFVG-1m,S,2026-02-09 10:39:00-05:00,2026-02-09 10:14:00-05:00,2026-02-09 10:39:00-05:00,-61.0,-1.0517241379310345,-1,-154.0,-1187.0,0.008989994648767154,204.0,3.0,11.82,2026
IFVG-1m,L,2026-02-10 09:39:00-05:00,2026-02-10 09:38:00-05:00,2026-02-10 09:39:00-05:00,-57.0,-1.0555555555555556,1,115.0,-124.0,0.012340340665474958,263.0,5.0,14.519736842105264,2026
IFVG-1m,L,2026-02-10 09:43:00-05:00,2026-02-10 09:42:00-05:00,2026-02-10 09:43:00-05:00,-84.0,-1.037037037037037,1,-50.0,-466.0,0.003918497390424212,365.0,7.0,11.353932584269662,2026
IFVG-1m,S,2026-02-19 09:59:00-05:00,2026-02-19 09:31:00-05:00,2026-02-19 09:59:00-05:00,-80.5,-1.038709677419355,-1,-73.0,-247.0,0.004180423900308872,247.0,5.0,11.183206106870228,2026
IFVG-1m,L,2026-02-26 10:04:00-05:00,2026-02-26 09:34:00-05:00,2026-02-26 10:04:00-05:00,-81.0,-1.0384615384615383,1,-78.0,-936.0,-0.019872705743043218,-35.0,3.0,19.715686274509803,2026
IFVG-1m,S,2026-02-27 09:52:00-05:00,2026-02-27 09:48:00-05:00,2026-02-27 09:52:00-05:00,-90.0,-1.0344827586206895,-1,-431.0,-1354.0,-0.007064122393124379,24.0,3.0,13.435897435897436,2026
IFVG-1m,S,2026-02-27 10:49:00-05:00,2026-02-27 10:45:00-05:00,2026-02-27 10:49:00-05:00,-74.5,-1.041958041958042,-1,-44.0,-2382.0,0.006473516285630632,154.0,4.0,12.867469879518072,2026
IFVG-1m,S,2026-03-06 10:40:00-05:00,2026-03-06 09:51:00-05:00,2026-03-06 10:40:00-05:00,207.0,2.9571428571428573,-1,-256.0,-809.0,0.006446217822495454,256.0,3.0,15.326732673267326,2026
IFVG-1m,S,2026-03-26 10:26:00-04:00,2026-03-26 09:29:00-04:00,2026-03-26 10:26:00-04:00,240.0,2.962962962962963,-1,,,,-3.0,4.0,7.350877192982456,2026
IFVG-1m,S,2026-03-31 10:20:00-04:00,2026-03-31 09:31:00-04:00,2026-03-31 10:20:00-04:00,-105.5,-1.0292682926829269,-1,-156.0,-788.0,-0.10360830797973236,155.0,5.0,11.141414141414142,2026
IFVG-1m,L,2026-04-09 10:29:00-04:00,2026-04-09 10:26:00-04:00,2026-04-09 10:29:00-04:00,-41.5,-1.077922077922078,1,-512.0,-1950.0,-0.011325091053148119,191.0,6.0,11.828947368421053,2026
IFVG-1m,L,2026-04-10 09:41:00-04:00,2026-04-10 09:27:00-04:00,2026-04-10 09:41:00-04:00,-81.5,-1.038216560509554,1,,,,190.0,4.0,18.714285714285715,2026
IFVG-1m,S,2026-04-29 10:41:00-04:00,2026-04-29 10:36:00-04:00,2026-04-29 10:41:00-04:00,80.0,1.1510791366906474,-1,-286.0,-1773.0,-0.0023184510497107416,171.0,4.0,12.406593406593407,2026
IFVG-1m,L,2026-06-15 10:23:00-04:00,2026-06-15 10:22:00-04:00,2026-06-15 10:23:00-04:00,283.5,2.968586387434555,1,-44.0,-877.0,-0.04743002957133902,29.0,3.0,3.591549295774648,2026
