tf,pattern,side,cond,n,pts6,base_pts6,atr6,base_atr6,pts12,base_pts12,atr12,base_atr12,pts24,base_pts24,atr24,base_atr24,held,base_held,excess12,n_2019-2022,excess12_2019-2022,p_2019-2022,n_2023-2026,excess12_2023-2026,p_2023-2026,passes
1m,engulfing,bear,vwap2s,4432,0.3674977436823105,0.00020090710873688598,-0.012288017332606841,-0.004566892470706158,-0.41228564981949456,-0.030319506503980246,-0.07013274760351876,-0.011159379146506132,-0.5395712630359212,-0.18156209434620701,-0.061991298844080396,-0.026008819518817224,0.2711471610660487,0.13026390745201116,-0.05897336845701263,2060,-0.09189940973243114,0.9479437543142342,2372,-0.034117209305282475,0.7547728115485841,False
1m,engulfing,bull,all,49804,0.09146353706529596,0.03979758027602728,0.006190594904648693,0.005810324901351559,0.004261705887077343,0.09542757761339288,0.00847478108262627,0.012912333467418772,0.09900548127231958,0.19414129100983743,0.02508965850995177,0.025151747348835393,0.28899177809152066,0.14467507668998103,-0.0044375523847925025,23891,-0.003798243095566427,0.5990172995500529,25913,-0.00514755123028608,0.644221098531512,False
1m,engulfing,bull,overnight,9501,0.12956530891485107,0.03583372957900537,0.0019349426623618791,0.00538085354555844,-0.11943479633722766,0.09658593930180223,-0.013478115871148721,0.012258504226929519,-0.1022628843655262,0.21084010297201805,-0.01143954122625225,0.02492438291180674,0.2941749675184062,0.1456792591462519,-0.02573662009807824,4612,-0.027840258019079033,0.7901321986280104,4889,-0.024003896847681314,0.7703582509740783,False
1m,engulfing,bull,vwap2s,3427,-0.5099212138896995,0.001821944868382539,-0.02397366539736219,0.005563475336349954,-0.6496206594689232,0.03187555984630661,0.0013619974987657201,0.012577654475394488,0.006590772917914919,0.1834600662382482,0.05547272889701623,0.02686290194979787,0.31366087477531457,0.1473214962830004,-0.011215656976628768,1611,-0.027341574235852602,0.6629454662899877,1816,0.006323054886950433,0.4560423923183647,False
1m,pin,bear,all,37459,-0.002295843455511359,-0.043330688735961076,-0.011206317011037505,-0.006107668307873354,-0.08905069542700018,-0.09394288939118357,-0.0213261514018992,-0.01301902345754291,-0.10147382920110193,-0.1828429668224961,-0.032609854663447124,-0.024287184362792858,0.17261707988980715,0.12652409204044254,-0.00830712794435629,19930,-0.02248568469201208,0.9112308195080133,17529,0.008047265865608505,0.31855136621450886,False
1m,pin,bear,overnight,8952,-0.035746201966041107,-0.045925822282064085,-0.007374363052557319,-0.00579459080545388,-0.003993521000893655,-0.10038539623696495,-0.01815495946935214,-0.012600701041603669,-0.06482118294360385,-0.19567698166564232,-0.009674487171740246,-0.02277585890904265,0.1798486932599725,0.12774046097068067,-0.00555425842774847,4767,-0.03295757510728905,0.8288749589248829,4185,0.024163299092236135,0.24818650903917314,False
1m,pin,bear,vwap2s,3758,-0.25039914848323575,0.01602321454939809,-0.034302073457883726,-0.00148754880322203,-0.39069984034060673,-0.02508734248656338,-0.06394155502289488,-0.011338868411184649,-0.82113654946852,-0.18507340067067216,-0.11945384727895392,-0.02288546083931657,0.1948759880076315,0.13183071778773886,-0.05260268661171023,1948,-0.10181092943825669,0.9528108453815398,1810,-0.002320110413549797,0.5153202498706293,False
1m,pin,bull,all,41361,-0.12299025652184425,0.039808586060666916,0.003341209258912199,0.005979510195831717,-0.040448731897197845,0.09347457753486153,0.01294302959611325,0.013308758339568749,0.07371362136213622,0.18315015757695816,0.028476672284171594,0.02483505162856017,0.19544454445444545,0.14402763761880513,-0.00036572874345549775,20844,0.00017945677744835785,0.49562732302824775,20517,-0.00033969227992176963,0.5086314938672147,False
1m,pin,bull,overnight,7347,-0.4443310194637267,0.034569164276120376,-0.018414623764121167,0.00583721912428979,-0.7797060024499796,0.08811409107185014,-0.049244225961232194,0.012647534053537123,-1.3072167109123936,0.20523025564844405,-0.10549459110364416,0.024728927256358772,0.18876624283917842,0.14511156973521117,-0.061891760014769315,3748,-0.05781391201828433,0.9304069844561458,3599,-0.06550931907730698,0.9566214287658422,False
1m,pin,bull,vwap2s,3057,-0.38886162904808635,-0.014598208323249267,-0.02293723285253743,0.004520318648809082,-0.2612037945698397,0.025316234018339247,-0.026948873071641996,0.013692039379644758,-0.6579343823234014,0.21423927768214593,-0.017020854468301008,0.025672358867009384,0.22798794777368597,0.14997095853253117,-0.04064091245128675,1509,-0.09379575404512848,0.8960268848996502,1548,0.013269174975631896,0.4206456752079227,False
