date,j,fl,entry_time,side,close,stop,risk,ref,ext,atr10,manip,dir930,match,tp,entry,exit_time,exit,reason,pnl,R
2021-09-29,31,389,2021-09-29 10:01:00-04:00,S,14877.25,14907.25,30.0,14882.5,14906.75,26.548572524952842,up,up,True,14801.5,14877.0,2021-09-29 11:31:00-04:00,14801.75,TP,148.5,2.475
2022-03-16,34,389,2022-03-16 10:04:00-04:00,S,13714.75,13755.5,40.75,13721.0,13755.0,26.507264907638053,up,up,True,13612.0,13714.5,2022-03-16 10:13:00-04:00,13755.75,SL,-84.5,-1.0368098159509203
2022-07-08,31,389,2022-07-08 10:01:00-04:00,L,12007.25,11983.75,23.5,12006.5,11984.25,32.54879567322339,down,down,True,12090.75,12007.5,2022-07-08 10:25:00-04:00,12090.5,TP,164.0,3.4893617021276597
2022-08-19,31,389,2022-08-19 10:01:00-04:00,L,13313.75,13294.5,19.25,13308.75,13295.0,20.02822690760219,down,down,True,13425.25,13314.0,2022-08-19 10:09:00-04:00,13294.25,SL,-41.5,-1.077922077922078
2022-12-07,32,389,2022-12-07 10:02:00-05:00,L,11479.75,11439.75,40.0,11471.75,11440.25,27.666424291330568,down,down,True,11596.0,11480.0,2022-12-07 15:59:00-05:00,11507.5,time,53.0,0.6625
2022-12-08,32,389,2022-12-08 10:02:00-05:00,S,11598.25,11620.5,22.25,11601.0,11620.0,24.11535756678524,up,up,True,11477.0,11598.0,2022-12-08 10:05:00-05:00,11620.75,SL,-47.5,-1.0674157303370786
2023-08-10,37,389,2023-08-10 10:07:00-04:00,S,15419.0,15442.25,23.25,15422.5,15441.75,31.408239570144893,up,up,True,15273.25,15418.75,2023-08-10 11:20:00-04:00,15273.5,TP,288.5,6.204301075268817
2023-11-07,36,389,2023-11-07 10:06:00-05:00,S,15295.0,15320.0,25.0,15297.5,15319.5,18.169588805233815,up,up,True,15224.5,15294.75,2023-11-07 10:25:00-05:00,15320.25,SL,-53.0,-1.06
2024-02-28,33,389,2024-02-28 10:03:00-05:00,L,17901.5,17879.25,22.25,17896.25,17879.75,18.681951714685123,down,down,True,17946.5,17901.75,2024-02-28 11:00:00-05:00,17946.25,TP,87.0,1.9550561797752808
2024-07-12,33,389,2024-07-12 10:03:00-04:00,S,20541.25,20573.0,31.75,20542.5,20572.5,28.568276900456816,up,up,True,20433.25,20541.0,2024-07-12 10:10:00-04:00,20573.25,SL,-66.5,-1.047244094488189
2025-03-04,31,389,2025-03-04 10:01:00-05:00,L,20241.5,20182.75,58.75,20230.75,20183.25,63.77487324385078,down,down,True,20412.5,20241.75,2025-03-04 10:03:00-05:00,20182.5,SL,-120.5,-1.025531914893617
2025-06-26,36,389,2025-06-26 10:06:00-04:00,S,22543.75,22577.0,33.25,22544.0,22576.5,25.10265570878286,up,down,False,22476.25,22543.5,2025-06-26 10:30:00-04:00,22577.25,SL,-69.5,-1.0451127819548873
2025-07-22,35,389,2025-07-22 10:05:00-04:00,L,23142.75,23104.5,38.25,23142.25,23105.0,29.475748927378415,down,down,True,23349.75,23143.0,2025-07-22 15:59:00-04:00,23220.75,time,153.5,2.0065359477124183
2025-07-25,34,389,2025-07-25 10:04:00-04:00,S,23387.75,23410.75,23.0,23389.5,23410.25,17.483664999045597,up,up,True,23330.25,23387.5,2025-07-25 10:11:00-04:00,23411.0,SL,-49.0,-1.065217391304348
2025-10-20,32,389,2025-10-20 10:02:00-04:00,S,25218.5,25235.75,17.25,25222.25,25235.25,25.254914290248692,up,up,True,25181.25,25218.25,2025-10-20 10:03:00-04:00,25236.0,SL,-37.5,-1.0869565217391304
